survey_title,HC,OT,A,AB,SC,SP,date.(UTC),year,reef,reef_pooled,site,habitat,zone,site_latitude,site_longitude,plot,cluster,survey_id,site_id,date
CBHE_FR2S_P2_202305_42,25.61904762,0.333333333,68.85714286,0.80952381,4.285714286,0.095238095,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,FR2,FR,S,-23.44764618,151.9578134,2,CB,86238,17885,202305
CBHE_FR2S_P3_202105_42,23.56097561,0.292682927,72.97560976,0.487804878,2.292682927,0.390243902,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,FR2,FR,S,-23.44764618,151.9578134,3,CB,84117,17885,202105
CBHE_FR2S_P3_202205_42,32.95,0.2,61.95,0.95,3.45,0.5,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,FR2,FR,S,-23.44764618,151.9578134,3,CB,84895,17885,202205
CBHE_FR2S_P3_202305_42,29.9047619,0.285714286,64.61904762,0.857142857,4.19047619,0.142857143,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,FR2,FR,S,-23.44764618,151.9578134,3,CB,86239,17885,202305
CBHE_FR2S_P4_202105_42,24.92307692,0.205128205,70.15384615,2.051282051,2.41025641,0.256410256,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,FR2,FR,S,-23.44764618,151.9578134,4,CB,84118,17885,202105
CBHE_FR2S_P4_202205_42,36.71428571,0.095238095,59.0,1.476190476,2.571428571,0.142857143,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,FR2,FR,S,-23.44764618,151.9578134,4,CB,84896,17885,202205
CBHE_FR2S_P4_202305_42,45.9047619,0.285714286,49.0,0.952380952,3.095238095,0.761904762,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,FR2,FR,S,-23.44764618,151.9578134,4,CB,86240,17885,202305
CBHE_LA1S_P1_202205_42,2.8,0.066666667,87.2,9.133333333,0.666666667,0.133333333,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,LA1,LA,S,-23.44764618,151.9578134,1,CB,84897,17885,202205
CBHE_LA1S_P1_202305_42,1.8,0.2,82.05,15.5,0.35,0.1,2023-05-01T10:00:00+0000,2023,CBHE,CBHE,LA1,LA,S,-23.44764618,151.9578134,1,CB,86241,17885,202305
CBHE_LA1S_P2_202105_42,3.0,0.263157895,76.73684211,19.10526316,0.631578947,0.263157895,2021-05-01T10:00:00+0000,2021,CBHE,CBHE,LA1,LA,S,-23.44764618,151.9578134,2,CB,84119,17885,202105
CBHE_LA1S_P2_202205_42,1.655172414,0.0,73.93103448,23.86206897,0.413793103,0.137931034,2022-05-01T10:00:00+0000,2022,CBHE,CBHE,LA1,LA,S,-23.44764618,151.9578134,2,CB,84898,17885,202205
